Country_code,Country_name,Source,Ecosystem_code,Ecosystem_level1,Ecosystem_level2,Ecosystem_level3,EU27,Area (m2)
BE,Belgium,Marine waters EU,1,marine,A - Marine habitats,Littoral rock and biogenic reef,1,0
BE,Belgium,Marine waters EU,2,marine,A - Marine habitats,Littoral sediment,1,17480000
BE,Belgium,Marine waters EU,3,marine,A - Marine habitats,Littoral undetermined substrate,1,1840000
BE,Belgium,Marine waters EU,4,marine,A - Marine habitats,Infralittoral rock and biogenic reef,1,0
BE,Belgium,Marine waters EU,5,marine,A - Marine habitats,Infralittoral coarse sediment,1,1650000
BE,Belgium,Marine waters EU,6,marine,A - Marine habitats,Infralittoral mixed sediment,1,0
BE,Belgium,Marine waters EU,7,marine,A - Marine habitats,Infralittoral sand,1,125640000
BE,Belgium,Marine waters EU,8,marine,A - Marine habitats,Infralittoral mud,1,6770000
BE,Belgium,Marine waters EU,9,marine,A - Marine habitats,Infralittoral undetermined substrate,1,200000
BE,Belgium,Marine waters EU,10,marine,A - Marine habitats,Circalittoral rock and biogenic reef,1,0
BE,Belgium,Marine waters EU,11,marine,A - Marine habitats,Circalittoral coarse sediment,1,71220000
BE,Belgium,Marine waters EU,12,marine,A - Marine habitats,Circalittoral mixed sediment,1,4150000
BE,Belgium,Marine waters EU,13,marine,A - Marine habitats,Circalittoral sand,1,2325650000
BE,Belgium,Marine waters EU,14,marine,A - Marine habitats,Circalittoral mud,1,390890000
BE,Belgium,Marine waters EU,15,marine,A - Marine habitats,Circalittoral undetermined substrate,1,0
BE,Belgium,Marine waters EU,16,marine,A - Marine habitats,Offshore circalittoral rock and biogenic reef,1,0
BE,Belgium,Marine waters EU,17,marine,A - Marine habitats,Offshore circalittoral coarse sediment,1,516770000
BE,Belgium,Marine waters EU,18,marine,A - Marine habitats,Offshore circalittoral mixed sediment,1,8060000
BE,Belgium,Marine waters EU,19,marine,A - Marine habitats,Offshore circalittoral sand,1,0
